Student_ID,UnixTime_mean,UnixTime_std,UnixTime_min,UnixTime_max,Delta_TP9_mean,Delta_TP9_std,Delta_TP9_min,Delta_TP9_max,Delta_AF7_mean,Delta_AF7_std,Delta_AF7_min,Delta_AF7_max,Delta_AF8_mean,Delta_AF8_std,Delta_AF8_min,Delta_AF8_max,Delta_TP10_mean,Delta_TP10_std,Delta_TP10_min,Delta_TP10_max,Theta_TP9_mean,Theta_TP9_std,Theta_TP9_min,Theta_TP9_max,Theta_AF7_mean,Theta_AF7_std,Theta_AF7_min,Theta_AF7_max,Theta_AF8_mean,Theta_AF8_std,Theta_AF8_min,Theta_AF8_max,Theta_TP10_mean,Theta_TP10_std,Theta_TP10_min,Theta_TP10_max,Alpha_TP9_mean,Alpha_TP9_std,Alpha_TP9_min,Alpha_TP9_max,Alpha_AF7_mean,Alpha_AF7_std,Alpha_AF7_min,Alpha_AF7_max,Alpha_AF8_mean,Alpha_AF8_std,Alpha_AF8_min,Alpha_AF8_max,Alpha_TP10_mean,Alpha_TP10_std,Alpha_TP10_min,Alpha_TP10_max,Beta_TP9_mean,Beta_TP9_std,Beta_TP9_min,Beta_TP9_max,Beta_AF7_mean,Beta_AF7_std,Beta_AF7_min,Beta_AF7_max,Beta_AF8_mean,Beta_AF8_std,Beta_AF8_min,Beta_AF8_max,Beta_TP10_mean,Beta_TP10_std,Beta_TP10_min,Beta_TP10_max,Gamma_TP9_mean,Gamma_TP9_std,Gamma_TP9_min,Gamma_TP9_max,Gamma_AF7_mean,Gamma_AF7_std,Gamma_AF7_min,Gamma_AF7_max,Gamma_AF8_mean,Gamma_AF8_std,Gamma_AF8_min,Gamma_AF8_max,Gamma_TP10_mean,Gamma_TP10_std,Gamma_TP10_min,Gamma_TP10_max,RAW_TP9_mean,RAW_TP9_std,RAW_TP9_min,RAW_TP9_max,RAW_AF7_mean,RAW_AF7_std,RAW_AF7_min,RAW_AF7_max,RAW_AF8_mean,RAW_AF8_std,RAW_AF8_min,RAW_AF8_max,RAW_TP10_mean,RAW_TP10_std,RAW_TP10_min,RAW_TP10_max,AUX_RIGHT_mean,AUX_RIGHT_std,AUX_RIGHT_min,AUX_RIGHT_max,Accelerometer_X_mean,Accelerometer_X_std,Accelerometer_X_min,Accelerometer_X_max,Accelerometer_Y_mean,Accelerometer_Y_std,Accelerometer_Y_min,Accelerometer_Y_max,Accelerometer_Z_mean,Accelerometer_Z_std,Accelerometer_Z_min,Accelerometer_Z_max,Gyro_X_mean,Gyro_X_std,Gyro_X_min,Gyro_X_max,Gyro_Y_mean,Gyro_Y_std,Gyro_Y_min,Gyro_Y_max,Gyro_Z_mean,Gyro_Z_std,Gyro_Z_min,Gyro_Z_max,HeadBandOn_mean,HeadBandOn_std,HeadBandOn_min,HeadBandOn_max,HSI_TP9_mean,HSI_TP9_std,HSI_TP9_min,HSI_TP9_max,HSI_AF7_mean,HSI_AF7_std,HSI_AF7_min,HSI_AF7_max,HSI_AF8_mean,HSI_AF8_std,HSI_AF8_min,HSI_AF8_max,HSI_TP10_mean,HSI_TP10_std,HSI_TP10_min,HSI_TP10_max,Battery_mean,Battery_std,Battery_min,Battery_max,QuestionKey_mean,QuestionKey_std,QuestionKey_min,QuestionKey_max,Elements_mean,Elements_std,Elements_min,Elements_max
1,1680003529.490546,192.18240326457092,1680003196.773,1680003862.343,0.8336638107536377,0.37859898286943894,-0.35296416,1.8551068,0.5747388176386389,0.43296149531220646,-0.94433504,1.5358375,0.7895983549278266,0.5015073368144665,-0.76566595,1.7550774,1.0865307772677242,0.3626643873285938,0.0751783,2.3792708,0.703384769879121,0.26912662754482686,-0.09239576,1.488185,0.20612067777884044,0.3567792518987383,-0.8155096,1.0902894,0.3975642266178214,0.4199946167163957,-0.78826886,1.2478334,0.8507631360537181,0.19477103309604238,0.025930025,1.3783945,0.9898207889533921,0.21306625309804245,0.2347805,1.4769598,0.27104702123324464,0.2792683017413856,-0.52694803,1.0744698,0.45897839617430997,0.3260241507470948,-0.5568775,1.1657654,1.095754727562024,0.2184036789914143,0.083386205,1.5610377,0.5551311332186019,0.12655346651378013,0.17333098,1.2623109,-0.29286871325319735,0.17621517650057264,-0.734581,1.0663724,-0.10394920358182738,0.19801023777490867,-0.5979608,0.9614974,1.3485790114168816,0.11167818195010505,0.22449508,1.6152143,-0.15241549933993806,0.1431728899637853,-0.58059746,0.760066,-0.8483111116658099,0.2282627420088626,-1.2849352,0.6009345,-0.5384366272335623,0.2805845040086776,-1.0867683,0.7418501,1.1910143885121145,0.12185554992487226,-0.27087435,1.482298,853.5277869737438,19.238644902866966,633.4066,979.12085,853.3896428655498,8.634196790316789,795.38464,923.91943,853.2455003525596,10.658027123733836,769.59705,928.3516,826.393312310443,111.30780011796075,0.0,1650.0,849.9717339174226,24.37598951824889,737.76556,953.73627,-0.037906824598057665,0.012828127768854817,-0.1185302734375,0.03216552734375,0.1540573221928542,0.006636621273722687,0.1033935546875,0.242919921875,0.9971479804481066,0.002572172225747589,0.97430419921875,1.03173828125,-0.5859654170338202,0.4959675943314508,-9.637603759765623,13.525543212890623,2.5916010654863992,0.5201554283419656,-7.514190673828125,12.24700927734375,4.199638606962003,0.6541539158376011,-6.50482177734375,15.424652099609377,1.0,0.0,1.0,1.0,1.0016779183970712,0.04092812272072302,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.040614482256382,0.3209850903449359,1.0,4.0,92.36791834786544,0.35297250775491856,91.75,92.98,,,,,,,,
2,1676984934.9131405,278.77671938971434,1676984452.304,1676985417.731,0.6186084893653283,0.43782434381881896,-0.43219858,2.0149417,0.35470085860848866,0.39219082770054187,-1.0392332,2.0045204,0.23958260143334537,0.40242411265576117,-0.95110536,2.3128111,0.683233519134767,0.41148762673907613,-0.373448,2.4051025,0.4727578663457584,0.29710504919558284,-0.49075037,1.5937591,0.1031054126150316,0.2850923802060252,-0.8257073,1.0385034,-0.034781508350900325,0.27634175238976594,-1.0555853,0.9812162,0.4700571811372186,0.2944133179857618,-0.49654385,1.4566251,0.7041079991884397,0.24225152917115733,-0.26622635,1.5434053,0.3331119866984157,0.2978026722595106,-0.54111016,1.3199444,0.20083972860571975,0.2535481010341021,-0.5513081,1.3177149,0.6710630224314689,0.2527403357846949,-0.31935015,1.4647949,0.5143241673437385,0.21674763713555828,-0.056572277,1.3622317,0.37686696468381187,0.45866686986387656,-0.2642977,1.5830284,0.38680275646568274,0.2537751458296121,-0.20763735,1.4914124,0.48149920939459606,0.2106175882593957,0.050509054,1.5814682,0.2248892217191948,0.25127014289084265,-0.18387108,1.3172145,0.16467579112348008,0.5382755249054092,-0.5685584,1.6836777,0.25738782941277555,0.292339965929805,-0.6240797,1.4762989,0.24055074816037142,0.24366966364244286,-0.33203763,1.4366568,854.5709101321773,47.50448841868773,0.0,1650.0,854.4513712331045,16.752969467150002,486.337,1649.597,854.2536718881975,12.42703518235751,620.9158,1208.3883,850.4627087211962,22.76453346737271,541.53845,1650.0,853.0518388482523,25.965733810254292,732.1245,961.79486,-0.11111029340317241,0.056898997953443047,-0.3760986328125,0.08367919921875,0.13348739204907856,0.05196572480198972,-0.1187744140625,0.25909423828125,0.9905398487591767,0.008605358304030279,0.92523193359375,1.02435302734375,-0.4506642463062035,1.5191166757033108,-21.8023681640625,23.6566162109375,2.5333815844772616,1.944676695515757,-34.879302978515625,29.0399169921875,4.106767344016643,3.390116750105706,-99.8004150390625,86.89544677734375,1.0,0.0,1.0,1.0,1.0165359352947563,0.19050726943192609,1.0,4.0,1.025451905330583,0.27438563972043817,1.0,4.0,1.0009465584627075,0.05328028759578738,1.0,4.0,1.004417272825969,0.06631572548881014,1.0,2.0,77.89210325968949,0.6660341139121506,76.75,79.08,,,,,,,,
3,1678717437.1148946,349.5284134979866,1678716831.835,1678718042.461,0.871064949098695,0.4492798476541034,-0.48396105,1.9477191,0.46932290773072105,0.40900146853034325,-1.0967814,1.6894364,1.2011775763604513,0.48036257290341045,-0.81233245,2.1056128,-inf,,-inf,2.0326545,0.5651058079671428,0.38410162038862866,-0.5470491,1.5317129,0.15035128496265227,0.34820454065714895,-0.8850445,1.185709,0.7806039116957184,0.43089366914026805,-0.90415066,1.5487403,-inf,,-inf,1.4930881,0.746982159994709,0.3289490743362608,-0.45478648,1.4769346,0.1740008891091117,0.22162212038109508,-0.50034827,0.9642199,0.7841339559440881,0.35257200399856387,-0.5315419,1.3782591,-inf,,-inf,1.4609905,0.3842159418215693,0.13928549199661486,-0.07803316,0.9272049,-0.1686981592755142,0.09101132438441079,-0.518134,0.15067051,0.2935040549850506,0.11388985980630721,-0.1064495,0.6808614,-inf,,-inf,1.5493417,-0.1766720149892011,0.14869684581753526,-0.7128416,0.5736337,-0.4958958580660391,0.11891799952306509,-0.95746773,-0.14517678,-0.2080667382543378,0.11287335171319982,-0.67724854,0.25220558,-inf,,-inf,1.3554668,851.0782062970949,28.278960669830045,606.0073,1035.9341,854.1291267027777,6.894837752235567,811.0989,934.7985,853.1045181514291,17.08735478470811,713.1868,1029.4872,719.3203237335664,289.5728209086707,0.0,1650.0,852.0348322534151,26.023682472003458,711.1722,984.35895,-0.2517126968616346,0.020964836306878145,-0.46673583984375,-0.18621826171875,0.1511946200371044,0.01690413767596438,0.08782958984375,0.307373046875,0.9637231613159634,0.007448967666190612,0.77069091796875,1.03863525390625,-0.31388479830399807,1.1300497516310335,-50.311431884765625,48.367462158203125,2.585592693865672,1.0973850431467842,-22.467803955078125,30.22125244140625,4.132470997716206,1.4907790750080978,-78.96255493164062,64.95849609375,1.0,0.0,1.0,1.0,1.011994080070563,0.1088588727496235,1.0,2.0,1.0,0.0,1.0,1.0,1.0007548721722732,0.04758206395810188,1.0,4.0,1.0741452222543892,0.43638774880577214,1.0,4.0,27.841271810800357,0.8447537042595848,26.5,29.42,,,,,,,,
4,1676379226.534706,270.9398546949715,1676378757.365,1676379695.813,0.8193912043711642,0.35054784721676496,-0.23762433,1.9300222,0.5154421252901978,0.46194155475122545,-0.60210997,2.2507224,0.7382404614268642,0.41453743609614696,-0.7182687,2.3339415,0.8911703252131276,0.3576818557679296,-0.25260144,2.0894494,0.5832022321478778,0.2953704156023647,-0.39936712,1.4748514,0.1401199292065183,0.3209446216387357,-0.8540737,1.2825243,0.3477110765733284,0.3338535371983684,-0.84674627,1.3119565,0.5776555838126791,0.30465677255951207,-0.34114566,1.6580806,1.0109991715448834,0.2740273531175435,-0.38160545,1.7929811,0.376811784822107,0.21222959466626576,-0.39920464,1.0606018,0.540982833074931,0.22951765254661038,-0.316873,1.2383856,0.9918750351859663,0.24696196644850443,-0.16668445,1.5782844,0.4063665140495295,0.1496863127390819,-0.06706751,1.0618086,0.6522341685157199,0.25084859090541356,-0.403547,1.3806355,0.4806596459531652,0.33362886971327554,-0.5310944,1.5503999,0.422432159433748,0.1570207132885897,-0.07069684,1.3048416,-0.07491602371379795,0.21390785429122258,-0.7177468,0.94935966,0.49768337739697693,0.3164994252913766,-0.9509541,1.6340437,0.2685720267230088,0.41309541415573686,-0.8622372,1.6862048,-0.010313946848645667,0.22230157939444875,-0.5489048,1.2079453,853.4873114444778,26.494612296547373,556.04395,1245.8608,851.7753541059682,62.37660045636515,0.0,1650.0,852.9153269175353,17.3732346251451,700.293,1396.1538,850.38587210354,28.1898135925136,561.685,1341.7583,852.0492986470413,25.676713749903026,726.08057,973.8828,-0.3000071671325476,0.054616668902703266,-0.45440673828125,-0.0626220703125,0.1817807503407801,0.04862378574951398,0.059814453125,0.32916259765625,0.9422878170605276,0.020369870701219154,0.764892578125,1.01983642578125,-0.47746307117613496,1.2738577773560795,-28.329620361328125,22.95379638671875,2.53534246807041,1.4504376647059654,-22.587432861328125,28.987579345703125,4.071157986829383,2.5615140533462473,-72.8240966796875,53.49655151367188,1.0,0.0,1.0,1.0,1.0016230479793926,0.04025443268254275,1.0,2.0,1.0048691439381776,0.11241045228096169,1.0,4.0,1.0,0.0,1.0,1.0,1.0016230479793926,0.04025443268254275,1.0,2.0,39.11043598908195,0.861693314058162,37.59,40.55,,,,,,,,
5,1676462802.8284214,366.8207098481999,1676462167.585,1676463438.064,0.675257193367824,0.3891876921689194,-0.57970065,1.8527446,0.6852284018967069,0.4591386150044126,-0.96961963,1.9321845,0.670258934639097,0.38543870204455427,-0.36012912,2.26237,0.7263854977047035,0.42682122451204174,-0.61656934,2.3489277,0.4922479621448833,0.29897497344422497,-0.44272876,1.4221416,0.4608109755175496,0.45671068882569066,-0.81461185,1.4228798,0.3663645066698209,0.3262723423819848,-0.69579977,1.3168422,0.4835677177613472,0.3582155137697155,-0.950853,1.549953,0.5962489074028067,0.2727937364502978,-0.41018498,1.4605216,0.5217020521531472,0.3234230578427064,-0.41753912,1.3079023,0.49052124462071517,0.2525156960405466,-0.2798492,1.2092065,0.6259301798458801,0.31859990474779826,-0.43362916,1.4914854,0.6438664396316015,0.13189451601476623,0.17983127,1.1105896,0.09846609100846526,0.13100438162732309,-0.37486085,0.6568274,0.1058682732551795,0.12745691651498,-0.32371798,0.5039598,0.5277900519499804,0.16691229668798174,0.0411341,1.2449237,0.42255613285312155,0.19571458333959185,-0.14281642,1.1950771,-0.16733470759091518,0.16153282808151356,-0.7765952,0.59262025,-0.21812837213353017,0.1869095629310853,-0.76970184,0.29375678,0.210148312835317,0.17108209694077944,-0.27808535,1.0736907,854.3488065227039,64.16170612100012,0.0,1643.1501,853.1832860574731,9.607888349962986,791.3553,960.58606,853.3625930686984,10.00318185166431,554.43225,996.8498,852.7426276616151,42.13086798009557,0.0,1650.0,851.4389810027637,25.803390557891596,722.0513,970.65936,-0.24050860423802364,0.04826747088101421,-0.44976806640625,0.13348388671875,0.15985839872704358,0.07400625406696504,-0.06719970703125,0.47918701171875,0.9620343055407623,0.01928743187937293,0.7012939453125,1.1651611328125,-0.4197423438207997,3.0306836206183747,-58.4686279296875,66.1846923828125,2.648099960092209,2.2271141290404795,-27.9632568359375,44.42718505859375,4.162516477437058,2.827098320943384,-71.17919921875,82.08038330078125,1.0,0.0,1.0,1.0,1.058664287850506,0.23499559901704797,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.058664287850506,0.23499559901704797,1.0,2.0,76.54289260779439,1.0879450083414755,74.91,78.83,,,,,,,,
6,1679143142.0976267,308.1547721780219,1679142608.827,1679143673.644,0.6497961856115886,0.43311920970506745,-0.4958764,2.0826955,-0.12702060306750787,0.32480418436291275,-1.1564308,1.4396466,0.1863644836056427,0.3278013763499348,-0.92879647,1.3581276,0.6095788285396733,0.45145512725591985,-0.7553796,1.9554527,0.3999620742895,0.35806115154026436,-0.50730085,1.4145306,-0.4277754038386821,0.24155381563572917,-1.3128984,0.7046218,-0.17336352117834022,0.280287346919049,-1.2012603,0.6952344,0.34196513734493356,0.41116861644579733,-0.6356148,1.4025952,0.6298254954094509,0.2418078935981174,-0.24374628,1.2988425,-0.21274837397602311,0.19916185870895803,-0.7753927,1.089787,-0.0921828545634732,0.21150677817654895,-0.9299946,0.71133363,0.5856975511716028,0.2585647004487686,-0.22266525,1.464043,0.19335511203836533,0.12018963848310352,-0.17590669,1.1116374,-0.42513953791375947,0.1755632782382804,-0.9143694,0.5038955,-0.3040747200553583,0.11665886261336836,-0.7246958,0.45439377,0.18459808322362212,0.1505543822408323,-0.20357905,1.1026528,-0.32083951740441785,0.16928108520860385,-0.7418465,0.95017326,-0.7074704980320206,0.2557870806889926,-1.2836682,0.32822034,-0.6072599370398605,0.16340424597719383,-1.0642332,0.2556378,-0.19324704516136157,0.21051211296030045,-0.7784272,0.68976843,852.9185690311382,18.400828177449146,0.8058608,1650.0,853.8985408425261,4.672639230676204,775.2381,1014.57874,853.9394290284247,5.658556355738527,691.4286,1021.02563,849.2966320882268,12.703982255467505,728.49817,1002.0879,850.2160375780295,24.538775182446958,728.0952,961.39197,-0.22883550727415441,0.05190123206053409,-0.4781494140625,0.0281982421875,0.17529998102421931,0.03198983189237805,-0.09765625,0.45416259765625,0.9643106846007446,0.014879232305365654,0.77215576171875,1.1240234375,-0.4761899878355527,1.4997637391758862,-35.6195068359375,33.339080810546875,2.606622605387307,1.3560129684527489,-21.989288330078125,25.279083251953125,4.098193939835164,3.5323050060878836,-71.9268798828125,108.682861328125,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,22.390008613529396,0.3850689592059924,21.75,23.06,,,,,,,,
7,1675688277.7066028,291.96595674387595,1675687772.02,1675688783.361,0.6447776544840331,0.44823637151334295,-0.9334481,2.6312056,0.42129616244347057,0.434206597224597,-0.94163746,1.9556141,0.8672566697826526,0.46649982084239255,-1.1019373,1.955175,0.5677976426092843,0.4439518555814577,-0.64510304,2.3994238,0.45669485351388606,0.33378207515954955,-0.7241014,1.431817,0.135205287554644,0.36589838090169,-0.94194925,1.4099509,0.5047706236321159,0.4081872863434834,-0.8243596,1.4883891,0.4458514170324858,0.33369620814881457,-0.58803236,1.6745455,0.6760568286768964,0.28200818400374306,-0.23691532,1.4161413,0.1623350258685791,0.2750098492056199,-0.65056306,1.657177,0.4512588211220998,0.3207562486362641,-0.78074884,1.5342429,0.6814949373456612,0.2875356979086202,-0.26381353,1.3566893,0.4626911708154004,0.1431829642377368,-0.087704584,1.058587,-0.02241725155390471,0.19235650928039907,-0.6987938,0.6834413,-0.002955853899524491,0.15208412023229434,-0.51872855,0.7164628,0.4771192808130033,0.14377994159539814,-0.02867432,0.9105336,0.14690726167177992,0.1442215187139272,-0.4295397,0.73767114,-0.17001454830641238,0.2636747175077659,-1.164513,0.4651778,-0.29143500344114853,0.18674822940459893,-0.85923874,0.24860041,0.22009570672315248,0.14188250603600608,-0.4089074,0.73867196,854.2644231822127,36.49685054224692,610.4396,1639.9268,853.8874833218031,7.2237529276257,791.75824,949.304,853.2931025036274,10.862842527141465,780.87915,1021.4286,852.5454766312995,27.5697510842572,516.1539,1083.0769,829.7896918390984,31.59436633470175,688.60803,958.5714,-0.07715305388166831,0.015221446560379187,-0.14422607421875,-0.01995849609375,0.1920607893867557,0.010925478720423825,0.1297607421875,0.2760009765625,0.987747262558614,0.002401731336030766,0.9666748046875,1.01910400390625,-0.4817062231647735,0.46777715178205914,-12.57598876953125,19.84344482421875,2.5908741956548473,0.4935408764996729,-9.76470947265625,17.039642333984375,4.122578455972802,0.5673834540719929,-12.688140869140623,20.21728515625,1.0,0.0,1.0,1.0,1.042871485943775,0.202567654217339,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.042871485943775,0.202567654217339,1.0,2.0,76.75874076952972,0.7177971671504005,75.56,78.03,,,,,,,,
8,1675427505.7585363,163.82474060603604,1675427222.063,1675427789.482,0.9568395493063133,0.36390797226655536,-0.1709132,1.9724027,0.3047079312830827,0.360861851761544,-0.75641966,1.441424,0.5029688929053131,0.33194266036805775,-0.5212558,1.6484149,0.849959230479236,0.3905912243798695,-0.70579845,1.731827,0.6304450206620036,0.31232411642657765,-0.46272218,1.3932807,-0.008558983235397234,0.2859355773157721,-0.8719694,1.0850635,0.12374471872551274,0.2756816158984689,-0.7564061,0.9097796,0.5849768279683919,0.3368169420700663,-0.5945452,1.4175777,0.7957309595589024,0.2463118556381992,-0.068664715,1.3697262,0.08788684558637438,0.20196663705507867,-0.5198442,0.7424658,0.22750052488172945,0.21450463544219747,-0.50895166,0.9802185,0.7357891454357137,0.27846722942803553,-0.24762575,1.400768,0.6279127253550937,0.18429098357891252,0.06582971,1.4030424,-0.312723856874731,0.10924021538380797,-0.75880677,0.28529495,-0.24660037630389592,0.11918659083238944,-0.5581386,0.3402835,0.42361471161072867,0.134151067701345,0.0023923062,0.9279909,0.4072808899373447,0.29445334125827244,-0.19311519,1.2698988,-0.6586250567460229,0.131315711259232,-1.0429735,0.31195664,-0.6871923856579868,0.12296300931524701,-1.0048069,0.057121024,0.1676773538439956,0.1422728563708994,-0.24594204,0.8264745,843.6516599919186,19.112942861830348,659.19415,1039.1575,853.1383534015448,5.632965246018117,813.91943,932.381,852.1944339346902,8.189219916104458,798.20514,922.71063,850.404474016486,14.798691478076911,668.46155,980.7326,851.3699085252485,25.83078891930303,731.7216,966.2271,-0.10963914380560966,0.01501685938107982,-0.25970458984375,0.00042724609375,0.11424136814153633,0.008834481330461788,0.01593017578125,0.18927001953125,0.9952691464927406,0.0034533197995741762,0.9454345703125,1.03936767578125,-0.4493824669169131,0.6908696732633277,-12.42645263671875,12.00775146484375,2.572684934649075,0.8512934319332409,-17.51068115234375,18.05648803710937,4.1175153888599425,1.2052475456977734,-19.21539306640625,26.2286376953125,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,85.68432589069246,0.29799373189880796,85.17,86.23,,,,,,,,
9,1676375366.1639593,318.5244540059346,1676374814.638,1676375921.241,0.8249024857544086,0.47980076400246746,-0.49655226,2.0950003,-inf,,-inf,2.0302875,0.6350490966858672,0.4698317975283426,-0.8565086,2.034163,0.6992855703216028,0.49980879832402625,-0.5813419,1.9136419,0.5426008351302503,0.39025290375751837,-0.91745144,1.6688806,-inf,,-inf,1.6399934,0.30614225622002567,0.43656869148442506,-0.90477693,1.6197318,0.44139328572294073,0.4192680581876415,-0.683273,1.5638694,0.6908602848895511,0.33192678568711376,-0.36219025,1.5261718,-inf,,-inf,1.369407,0.4170194948331442,0.34140812633166295,-0.580312,1.3291435,0.622785151147564,0.3562432145362169,-0.4389539,1.4832668,0.4800820573963308,0.16991940297994987,-0.11376319,1.1165196,-inf,,-inf,1.2146642,0.6615639262031794,0.18170800375430632,0.0,1.2527089,0.4483540640973283,0.17766969963753126,-0.083951026,1.1733327,0.20381806936426897,0.16197174808746484,-0.33615422,0.8708142,-inf,,-inf,1.0891535,0.6408041424106621,0.21593731044392234,-0.19898142,1.5038689,0.20672260837532497,0.2012667355453706,-0.39178547,1.3110178,841.3107311297949,131.7390906688942,0.0,1650.0,857.2523875728772,149.66885157502378,0.0,1650.0,842.8375213932088,134.51590020843608,0.0,1650.0,846.1679191666589,134.34567601848593,0.0,1650.0,850.6546439027984,53.58551577300692,0.0,1650.0,-0.2124494164177557,0.11909741609279259,-1.5308837890625,0.510009765625,0.20118345805235383,0.06605133876569823,-1.05987548828125,1.4229736328125,0.9541728661911291,0.06361403043988807,-0.4974365234375,1.4271240234375,-0.34078432540897635,6.043093088712337,-178.76296997070312,239.5269775390625,2.48356969074121,6.059563702063127,-184.10888671875,147.60711669921875,4.028910349945926,5.322879702968961,-197.1185302734375,158.65036010742188,0.994084140626392,0.07668689227348875,0.0,1.0,1.0939320864095603,0.410576253745209,1.0,4.0,1.0792938982305877,0.4806687779412624,1.0,4.0,1.0888685621967082,0.483772247815215,1.0,4.0,1.1028623018394996,0.4466523064882066,1.0,4.0,45.23326750256888,0.9354304948305583,43.61,46.84,,,,,,,,
10,1677154356.2307065,3.6670779031236744,1677154349.955,1677154362.586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.809779925799,513.19353729546,0.0,1650.0,883.2043346752577,475.95606595724314,131.75824,1628.2417,521.5667175866495,526.5521120363618,0.0,1650.0,485.66624145871134,510.8277231960304,0.0,1650.0,822.7769240645104,525.4367325106746,0.0,1648.3883,0.3076822339873953,0.0005627122754393616,0.30609130859375,0.30950927734375,-0.016068763339642397,0.0009469601919963541,-0.01910400390625,-0.013427734375,0.9579942211662371,0.0005376936074884284,0.95648193359375,0.95965576171875,-0.35682481588776577,0.04576424583712029,-0.456085205078125,-0.246734619140625,2.556491694499537,0.032879220440602104,2.459869384765625,2.639312744140625,4.147452088975415,0.02544642693514722,4.059906005859375,4.2169189453125,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,63.68402577319589,0.012178502042877418,63.66,63.7,,,,,,,,
