Feature,Importance
IVT_Gaze X_std,0.025577871450090123
EEG_Delta_TP9_mean,0.02120231666224342
EEG_Delta_TP10_mean,0.01587960221412507
EEG_Alpha_TP9_mean,0.014957298175680528
EEG_Beta_AF7_min,0.012914542906233692
EYE_ET_PupilLeft_mean,0.01270951978771964
IVT_Fixation Duration_min,0.012692162131027173
EEG_HSI_TP9_std,0.012573704073704074
IVT_Saccade Start_std,0.012102944857062429
TIVA_BlinkRate_max,0.011916131816058745
EEG_RAW_AF7_max,0.01107730480486509
EEG_Theta_TP9_mean,0.010473914373465835
EEG_AUX_RIGHT_mean,0.010326347261992117
EEG_Delta_AF7_std,0.009693381271506272
EEG_Alpha_TP9_min,0.00940981191395514
EEG_Theta_TP9_min,0.009405838619441564
EEG_Beta_TP9_min,0.009396638249246414
EEG_Theta_TP10_min,0.009121159142094534
GSR_GSR Conductance CAL_std,0.009094379177446519
TIVA_BlinkRate_std,0.00898786222683498
EEG_HSI_TP10_mean,0.008505433430332034
IVT_Fixation Duration_std,0.008470762414942969
EEG_Alpha_AF7_std,0.008301819757905705
EEG_Delta_AF7_min,0.008034444464591105
IVT_Saccade Direction_mean,0.007752598472731716
EEG_RAW_AF7_std,0.007556695781061443
IVT_Saccade Amplitude_max,0.007062005111252737
TIVA_Yaw_max,0.006830359872319592
IVT_Gaze X_min,0.006672047074958463
EEG_Beta_TP10_min,0.006480662298406406
EEG_Gyro_X_mean,0.006461214828022693
IVT_Saccade Duration_std,0.006266784016365595
EEG_Delta_TP9_min,0.006140320616883118
TIVA_Interocular Distance_mean,0.006107824544709911
IVT_Saccade Direction_max,0.0061066553214788695
IVT_Fixation Index_mean,0.005988809859831544
TIVA_Disgust_min,0.005974517600158627
EEG_Beta_TP10_mean,0.005938000858347671
TIVA_Lip Press_std,0.005930109215403335
TIVA_Lip Suck_mean,0.005715622346154644
EEG_Theta_TP10_std,0.005675534905037531
IVT_Fixation Y_std,0.005643916677953736
TIVA_Roll_max,0.005641280435860812
TIVA_Engagement_max,0.0055007609553361205
TIVA_Valence_min,0.0055005424830359955
IVT_Saccade Start_mean,0.005497569503126362
EEG_Beta_TP9_std,0.005446410849338057
IVT_Gaze Velocity_mean,0.005414386283932226
TIVA_Confusion_max,0.005396920103497409
TIVA_Upper Lip Raise_std,0.005371954742277669
IVT_Interpolated Distance_mean,0.005361877150525763
IVT_Fixation Duration_mean,0.005244179474558313
EEG_Accelerometer_X_mean,0.005220335511827109
IVT_Fixation Start_std,0.00517179673801888
EEG_Gamma_TP9_min,0.005155593752652578
TIVA_Brow Raise_max,0.005153143448014658
IVT_Gaze Acceleration_min,0.005037625308106901
TIVA_Brow Furrow_max,0.004992800602175604
EEG_Accelerometer_Z_mean,0.004926894144754676
TIVA_Sadness_max,0.004794844201497428
EEG_Theta_AF7_std,0.004755121667696951
EEG_Beta_AF7_std,0.004707669169975624
EEG_RAW_TP9_mean,0.00462800327860613
TIVA_Sadness_min,0.004599960573114046
EEG_Delta_TP9_max,0.004547024674494305
EEG_HSI_TP10_std,0.004506879058441559
TIVA_Disgust_mean,0.004314343540446483
EEG_Gamma_TP9_max,0.004309263586744044
IVT_Fixation Dispersion_mean,0.004281302055644162
IVT_Gaze Velocity_std,0.004248768651876941
TIVA_Anger_std,0.0042266160310277965
TIVA_Pitch_max,0.004215384151287576
TIVA_Interocular Distance_min,0.00418832853997214
IVT_Gaze X_max,0.00416918943015803
TIVA_Pitch_min,0.0041458373121976075
EEG_Gamma_AF7_std,0.004085817470927766
TIVA_Attention_min,0.004075470062495657
TIVA_Lip Press_mean,0.004058576543644278
EEG_Accelerometer_Z_std,0.004052301113682189
EEG_Beta_AF7_max,0.004028101058898161
EEG_Gyro_Y_mean,0.00398116948637782
IVT_Saccade Duration_max,0.003948659344379454
GSR_GSR Resistance CAL_max,0.0038970875315938345
IVT_Saccade Peak Velocity_mean,0.003887076084965903
TIVA_Brow Raise_std,0.003839237075022091
TIVA_Anger_max,0.003830195886383694
EEG_RAW_AF8_min,0.003829895777523197
IVT_Saccade Duration_min,0.0038156009747651438
IVT_Fixation Dispersion_max,0.0037978094221644263
TIVA_Lip Corner Depressor_max,0.0037857486263736277
TIVA_Jaw Drop_max,0.003752742879101575
IVT_Fixation X_mean,0.0037303992611537377
GSR_VSenseBatt RAW_mean,0.0036919749522051314
EEG_AUX_RIGHT_min,0.0036752203529958577
TIVA_Lid Tighten_max,0.003665107738979109
EEG_Beta_AF8_max,0.0036469802439916153
GSR_VSenseBatt RAW_std,0.003622572349128722
EEG_Alpha_AF7_min,0.0036125120493541558
EEG_Theta_TP9_std,0.0035316673541647753
IVT_Saccade Amplitude_min,0.003469315097817253
TIVA_Confusion_std,0.003392629978626219
TIVA_Eye Closure_std,0.0033897169610724604
EEG_HSI_AF7_mean,0.0033481321365832237
EEG_RAW_TP10_std,0.0033436783804430864
EEG_Accelerometer_Y_std,0.0033139201372765397
EEG_RAW_TP9_max,0.003296626984126985
EEG_Gyro_Y_std,0.0032627958785853514
TIVA_Confusion_mean,0.0032450305601167675
TIVA_Eye Widen_mean,0.0032105802968960873
TIVA_Brow Raise_mean,0.003197772145673195
EYE_ET_GazeLeftx_std,0.003195868966547973
TIVA_Anger_mean,0.0031765345141794676
EEG_UnixTime_std,0.0031737404513462308
EEG_Beta_AF8_mean,0.0031217861005890584
TIVA_Yaw_min,0.0031212103500820624
EEG_Alpha_TP10_std,0.00311655803552425
EEG_Gyro_Z_max,0.0031003853685522354
EEG_Accelerometer_Z_max,0.0030287906537906544
IVT_Gaze Acceleration_max,0.0030169442978479647
TIVA_Fear_mean,0.0029966676841676836
EYE_ET_CameraRightX_max,0.00299417645741934
IVT_Interpolated Gaze X_min,0.0029722719175556906
IVT_Saccade Peak Velocity_std,0.002968051393051393
EYE_ET_PupilRight_max,0.0029453845817482187
EEG_Battery_std,0.0029387320807165744
EEG_Alpha_TP10_min,0.0029006585090176427
EYE_ET_GazeLefty_std,0.0028615399923144495
TIVA_Fear_max,0.0027868260347617304
IVT_Saccade Peak Deceleration_max,0.0027860151990774834
EEG_Accelerometer_Z_min,0.0027766175296029343
GSR_GSR Resistance CAL_mean,0.002771457300869066
TIVA_Lip Stretch_std,0.0027563900560224103
IVT_Gaze Velocity_max,0.002738530017673055
TIVA_Eye Widen_max,0.002736779835390946
EYE_ET_GazeRighty_std,0.0027037689710387087
TIVA_Surprise_max,0.002687800084731032
EEG_Accelerometer_Y_min,0.0026747614542893183
TIVA_Mouth Open_std,0.0026746327454296673
TIVA_Neutral_max,0.002662728922977908
TIVA_Yaw_mean,0.0026492838376133577
TIVA_Contempt_max,0.002619633484707015
TIVA_Blink_mean,0.002603608659329485
TIVA_Interocular Distance_max,0.0026025104486238943
TIVA_Lip Corner Depressor_std,0.0025740324892498815
TIVA_Anger_min,0.0025290438350900305
EEG_Delta_AF8_std,0.002523808052346513
TIVA_Engagement_std,0.002509091126738186
TIVA_Lip Suck_max,0.002506651650559213
TIVA_Disgust_std,0.0024694677871148468
TIVA_Neutral_std,0.002458099199573179
IVT_Saccade Index_mean,0.0024287116893541047
EEG_Beta_AF7_mean,0.0024127772321049634
TIVA_Lip Pucker_std,0.0024118231394446225
IVT_Saccade Peak Acceleration_mean,0.00240612564258636
IVT_UnixTime_std,0.0023886357961988218
IVT_Fixation Y_min,0.0023253777095489053
TIVA_Inner Brow Raise_min,0.002309930674543681
TIVA_Brow Raise_min,0.0022962690631808283
TIVA_Pitch_mean,0.0022834473903992625
IVT_Fixation Dispersion_std,0.00227922149122807
EYE_ET_DistanceLeft_std,0.002277146464646465
EEG_Gyro_X_std,0.0022428716801712717
TIVA_Mouth Open_min,0.00223700370299635
GSR_GSR Resistance CAL_std,0.002230949883449884
IVT_Saccade Peak Acceleration_min,0.0022183977471903174
TIVA_Jaw Drop_min,0.0022101502908855857
IVT_Interpolated Distance_min,0.0021837869623655922
IVT_Saccade Peak Deceleration_mean,0.0021798588753683293
EEG_HSI_TP10_max,0.00217664296487826
TIVA_Brow Furrow_mean,0.0021684325012056114
TIVA_Fear_min,0.0021278846466816397
TIVA_Roll_mean,0.0021136829182705143
EEG_Beta_TP10_max,0.0020961257309941527
TIVA_Engagement_mean,0.002082470669427192
TIVA_Jaw Drop_std,0.0020769665920594713
TIVA_Lip Pucker_max,0.0020739769943201314
EYE_ET_CameraLeftY_max,0.0020696952913796174
EYE_ET_GazeRightx_max,0.002035157591458053
EEG_HeadBandOn_min,0.0020105820105820104
EEG_Delta_AF7_max,0.0020018796992481206
TIVA_Jaw Drop_mean,0.001987094421101774
IVT_Fixation Y_mean,0.001977479119301066
TIVA_Mouth Open_mean,0.001976790716286515
EEG_Gamma_TP10_max,0.0019650193860720182
IVT_Interpolated Distance_std,0.0019601449275362323
IVT_Saccade Direction_std,0.00195603519185452
EYE_ET_PupilRight_mean,0.0019541776306482195
EEG_Delta_TP10_std,0.0019490655326458068
TIVA_Brow Furrow_std,0.0019236981342244499
TIVA_Lip Press_max,0.0019229403409090908
EEG_Gamma_AF7_max,0.001919292717086835
GSR_GSR RAW_std,0.0019003220611916263
TIVA_Attention_mean,0.0018637024473821156
EYE_ET_GazeRightx_mean,0.0018612942582572469
IVT_Saccade Amplitude_std,0.0018487911633691687
EYE_ET_PupilLeft_max,0.001833333333333334
TIVA_Dimpler_std,0.001825785869903517
TIVA_Inner Brow Raise_mean,0.0018255835436941578
IVT_Fixation Dispersion_min,0.0018131313131313134
TIVA_Lid Tighten_std,0.0017890036396058856
EEG_HSI_AF8_max,0.0017308488612836441
EEG_Battery_min,0.0017024225217741264
TIVA_Eye Closure_mean,0.0016627522803993402
EEG_Gamma_AF8_max,0.0016553914495090972
EEG_Gyro_X_max,0.0016412027247767792
TIVA_Upper Lip Raise_mean,0.001605508870214753
EEG_HSI_AF7_std,0.0015859292575934264
IVT_Fixation Start_mean,0.0015859292575934258
TIVA_Dimpler_mean,0.0015833333333333335
TIVA_Cheek Raise_min,0.0015627705627705632
EYE_ET_DistanceRight_mean,0.0015113636363636366
EEG_Gyro_Y_max,0.0014846320346320351
GSR_Timestamp CAL_min,0.0014706246876561714
EEG_Accelerometer_Y_max,0.0014431803490627029
EEG_Accelerometer_X_std,0.0014378067016280202
TIVA_Eye Widen_std,0.0014223011363636367
EEG_RAW_TP10_mean,0.0014086893498658206
EEG_RAW_TP10_max,0.001404761904761905
EEG_Gamma_TP9_mean,0.0014043478260869569
EYE_ET_CameraLeftX_std,0.001356127341467607
EEG_Gamma_TP9_std,0.0013458333333333336
TIVA_Nose Wrinkle_mean,0.0013353369125427951
TIVA_Roll_min,0.0013292362399505257
EYE_ET_DistanceLeft_max,0.0013179139883685341
EEG_Delta_TP10_max,0.0013007347866682908
TIVA_Eye Closure_max,0.0012996527777777776
EEG_Alpha_AF8_std,0.0012955465587044536
EEG_Gyro_Z_mean,0.0012934114496614502
TIVA_Chin Raise_max,0.0012884416924664605
EEG_Beta_AF8_std,0.0012584550865800872
TIVA_Contempt_mean,0.001242125739184563
TIVA_Lid Tighten_mean,0.0012385361552028217
EYE_ET_GazeLeftx_mean,0.0012238124416433242
TIVA_Sentimentality_mean,0.0011910218441503887
EEG_Accelerometer_X_max,0.0011865434336830218
TIVA_Eye Closure_min,0.001169507575757576
IVT_Gaze Y_max,0.001156521739130435
IVT_Fixation Y_max,0.001140319865319866
EYE_ET_DistanceRight_std,0.001132505175983437
GSR_GSR Resistance CAL_min,0.001096295426065163
TIVA_Mouth Open_max,0.001084364853896104
IVT_Gaze Y_std,0.0010602678571428575
TIVA_Lip Pucker_mean,0.0009802891103498398
EEG_Beta_TP9_mean,0.0009715909090909096
TIVA_Nose Wrinkle_std,0.0009587721306471307
GSR_Packet reception rate RAW_mean,0.0009461562402738872
EEG_Delta_AF8_mean,0.0009353846153846153
EYE_ET_CameraLeftX_max,0.0009347841700782875
IVT_Interpolated Gaze Y_max,0.0009313725490196079
EEG_Theta_AF7_min,0.0009228463315150624
TIVA_Chin Raise_std,0.0009191514504014505
IVT_Saccade Start_min,0.0009184782608695647
TIVA_Sentimentality_max,0.0009022556390977444
IVT_Gaze X_mean,0.0009011857707509883
TIVA_Fear_std,0.0008947829131652661
TIVA_Roll_std,0.0008865358126721764
IVT_Fixation X_std,0.000866635101010101
EEG_Gyro_Y_min,0.0008643457382953183
TIVA_Inner Brow Raise_std,0.0008604108309990661
EYE_ET_TimeSignal_min,0.0008571428571428572
TIVA_Chin Raise_mean,0.0008547685001978633
EYE_ET_GazeLeftx_max,0.000848214285714286
IVT_Interpolated Distance_max,0.0008436315702751691
TIVA_Smirk_mean,0.0008260869565217392
EEG_Beta_TP10_std,0.0008209876543209876
GSR_GSR RAW_mean,0.0008024517622040842
EEG_Alpha_TP10_mean,0.0007919834600506872
GSR_Packet reception rate RAW_max,0.0007775297619047617
EYE_ET_CameraRightX_std,0.0007352941176470594
TIVA_Joy_std,0.0007278613199665833
EEG_Delta_TP9_std,0.0007095679012345678
EEG_RAW_AF8_max,0.000556776556776557
IVT_Saccade Peak Velocity_min,0.0005419146825396831
EEG_Gamma_TP10_min,0.0005152376033057855
EEG_Gyro_Z_min,0.0005140096618357491
TIVA_Upper Lip Raise_max,0.0005127840909090909
IVT_Fixation Start_max,0.0005113636363636367
IVT_Gaze Acceleration_mean,0.0005037878787878791
EEG_Accelerometer_Y_mean,0.0005013888888888889
IVT_Saccade Peak Acceleration_std,0.0005012175324675326
EEG_RAW_AF7_mean,0.000498456790123457
EEG_HSI_AF8_std,0.000498456790123457
TIVA_Cheek Raise_max,0.0004967320261437912
EEG_Alpha_TP9_std,0.0004907024793388431
IVT_Saccade Direction_min,0.0004887218045112785
GSR_SampleNumber_mean,0.0004797979797979798
IVT_Saccade Amplitude_mean,0.0004589371980676329
EEG_Gamma_AF8_std,0.00045618247298919584
TIVA_Attention_std,0.00045618247298919584
TIVA_Nose Wrinkle_max,0.00044351073762838474
EYE_ET_GazeRighty_max,0.00044081439393939384
EEG_RAW_TP10_min,0.0004405797101449275
EEG_Battery_mean,0.0004402496292634699
TIVA_Valence_mean,0.0004318181818181818
EEG_HeadBandOn_std,0.0004318181818181818
TIVA_Surprise_min,0.0003991596638655463
IVT_Gaze Y_mean,0.00039915966386554625
TIVA_Dimpler_max,0.0003958333333333333
EEG_Gyro_X_min,0.00035185185185185184
TIVA_Valence_std,0.00035087719298245617
EEG_Delta_AF8_min,0.00035087719298245617
IVT_Gaze Acceleration_std,0.000249137336093858
EEG_Accelerometer_X_min,0.00010174658098533543
IVT_Gaze Y_min,0.0
EYE_ET_GazeLefty_max,0.0
IVT_Saccade Duration_mean,0.0
EEG_Delta_AF8_max,0.0
EYE_ET_GazeRightx_std,0.0
TIVA_BlinkRate_min,0.0
EEG_Theta_TP10_mean,0.0
EEG_Theta_AF8_mean,0.0
TIVA_Pitch_std,0.0
IVT_Saccade Index_min,0.0
IVT_Fixation X_min,0.0
IVT_Fixation X_max,0.0
EEG_Delta_TP10_min,0.0
IVT_Gaze Velocity_min,0.0
IVT_Interpolated Gaze Y_min,0.0
TIVA_Surprise_mean,0.0
TIVA_Joy_mean,0.0
TIVA_Sentimentality_std,0.0
EEG_HSI_TP9_max,0.0
TIVA_Joy_max,0.0
EEG_Gyro_Z_std,0.0
TIVA_Sadness_std,0.0
GSR_GSR RAW_max,0.0
GSR_Timestamp CAL_max,0.0
GSR_Packet reception rate RAW_std,0.0
EEG_HSI_AF7_max,0.0
GSR_Packet reception rate RAW_min,0.0
TIVA_Contempt_std,0.0
TIVA_Contempt_min,0.0
GSR_GSR Conductance CAL_mean,0.0
GSR_Timestamp CAL_mean,0.0
GSR_Timestamp RAW_min,0.0
GSR_GSR RAW_min,0.0
TIVA_Disgust_max,0.0
TIVA_Sadness_mean,0.0
EEG_Gamma_TP10_std,0.0
EEG_RAW_AF7_min,0.0
TIVA_Inner Brow Raise_max,0.0
EEG_RAW_TP9_min,0.0
EEG_RAW_AF8_std,0.0
TIVA_Lip Stretch_mean,0.0
TIVA_Lip Stretch_max,0.0
TIVA_Lip Corner Depressor_mean,0.0
TIVA_Interocular Distance_std,0.0
EEG_Delta_AF7_mean,0.0
